Hips,Spine1,Head,LeftUpperArm,LeftForeArm,LeftHand,RightUpperArm,RightForeArm,RightHand,LeftUpLeg,LeftLeg,LeftFoot,RightUpLeg,RightLeg,RightFoot
"(0.02, 359.98, 359.98)","(0.02, 359.95, 0.11)","(353.08, 359.94, 0.11)","(89.93, 269.99, 0.00)","(89.86, 310.72, 40.74)","(89.88, 146.26, 236.28)","(84.99, 194.04, 106.21)","(85.89, 166.70, 82.05)","(89.93, 89.89, 0.00)","(0.58, 359.97, 179.71)","(2.73, 359.96, 180.46)","(297.52, 5.29, 173.98)","(0.72, 359.97, 180.42)","(2.72, 359.79, 179.31)","(297.53, 354.40, 186.29)",
"(0.02, 359.98, 359.98)","(0.03, 359.95, 0.11)","(353.09, 359.93, 0.11)","(89.93, 269.99, 0.00)","(89.87, 310.96, 40.98)","(89.88, 145.18, 235.20)","(84.98, 194.03, 106.19)","(85.89, 166.68, 82.04)","(89.94, 89.89, 0.00)","(0.58, 359.97, 179.71)","(2.73, 359.96, 180.46)","(297.52, 5.27, 174.00)","(0.72, 359.97, 180.42)","(2.72, 359.79, 179.32)","(297.53, 354.39, 186.29)",
"(0.02, 359.98, 359.99)","(0.03, 359.94, 0.11)","(353.09, 359.93, 0.11)","(89.93, 269.99, 0.00)","(89.87, 310.52, 40.54)","(89.88, 144.27, 234.29)","(84.98, 193.97, 106.14)","(85.89, 166.69, 82.06)","(89.94, 89.90, 0.00)","(0.58, 359.97, 179.72)","(2.73, 359.96, 180.47)","(297.53, 5.25, 174.01)","(0.73, 359.97, 180.43)","(2.72, 359.79, 179.33)","(297.53, 354.38, 186.31)",
"(0.03, 359.98, 359.99)","(0.03, 359.94, 0.11)","(353.09, 359.93, 0.12)","(89.94, 269.98, 0.00)","(89.87, 310.32, 40.34)","(89.87, 143.10, 233.13)","(84.98, 193.95, 106.12)","(85.88, 166.66, 82.04)","(89.95, 89.90, 0.00)","(0.58, 359.97, 179.72)","(2.73, 359.96, 180.47)","(297.53, 5.25, 174.02)","(0.73, 359.97, 180.43)","(2.73, 359.79, 179.34)","(297.54, 354.37, 186.31)",
"(0.03, 359.98, 359.99)","(0.04, 359.94, 0.12)","(353.10, 359.93, 0.12)","(89.94, 269.98, 0.00)","(89.88, 310.28, 40.31)","(89.87, 142.25, 232.27)","(84.97, 193.93, 106.10)","(85.88, 166.64, 82.03)","(89.95, 89.90, 0.00)","(0.59, 359.97, 179.72)","(2.73, 359.96, 180.47)","(297.53, 5.24, 174.03)","(0.73, 359.97, 180.43)","(2.73, 359.79, 179.35)","(297.54, 354.37, 186.32)",
"(0.03, 359.98, -0.01)","(0.04, 359.94, 0.12)","(353.10, 359.93, 0.12)","(89.94, 269.98, 0.00)","(89.88, 310.04, 40.07)","(89.87, 141.77, 231.79)","(84.97, 193.87, 106.06)","(85.87, 166.61, 82.00)","(89.96, 89.90, 0.00)","(0.59, 359.96, 179.72)","(2.73, 359.96, 180.48)","(297.53, 5.24, 174.03)","(0.74, 359.97, 180.43)","(2.73, 359.79, 179.35)","(297.54, 354.37, 186.32)",
"(0.04, 359.98, 0.00)","(0.05, 359.94, 0.12)","(353.10, 359.93, 0.12)","(89.95, 269.97, 0.00)","(89.88, 310.05, 40.08)","(89.87, 140.56, 230.59)","(84.96, 193.82, 106.01)","(85.87, 166.56, 81.97)","(89.97, 89.91, 0.00)","(0.59, 359.96, 179.72)","(2.74, 359.96, 180.48)","(297.54, 5.23, 174.04)","(0.74, 359.97, 180.43)","(2.73, 359.79, 179.36)","(297.54, 354.37, 186.32)",
"(0.04, 359.98, 0.00)","(0.05, 359.94, 0.12)","(353.11, 359.92, 0.12)","(89.95, 269.97, 0.00)","(89.89, 270.04, 0.00)","(89.87, 139.97, 229.99)","(84.96, 193.80, 105.99)","(85.87, 166.55, 81.97)","(89.97, 89.91, 0.00)","(0.59, 359.96, 179.73)","(2.74, 359.96, 180.48)","(297.54, 5.23, 174.04)","(0.74, 359.97, 180.43)","(2.74, 359.79, 179.37)","(297.54, 354.37, 186.32)",
"(0.04, 359.98, 0.01)","(0.05, 359.94, 0.12)","(353.11, 359.92, 0.13)","(89.95, 269.97, 0.00)","(89.88, 270.04, 0.00)","(89.87, 139.17, 229.20)","(84.96, 193.78, 105.97)","(85.87, 166.55, 81.98)","(89.97, 89.92, 0.00)","(0.59, 359.96, 179.73)","(2.74, 359.96, 180.48)","(297.54, 5.22, 174.04)","(0.74, 359.97, 180.43)","(2.74, 359.79, 179.37)","(297.54, 354.37, 186.32)",
"(0.04, 359.98, 0.01)","(0.05, 359.94, 0.12)","(353.11, 359.92, 0.13)","(89.96, 269.97, 0.00)","(89.89, 270.04, 0.00)","(89.86, 138.53, 228.55)","(84.96, 193.74, 105.94)","(85.87, 166.52, 81.95)","(90.00, 89.92, 0.00)","(0.59, 359.96, 179.73)","(2.74, 359.96, 180.48)","(297.54, 5.23, 174.04)","(0.74, 359.97, 180.43)","(2.74, 359.79, 179.38)","(297.54, 354.37, 186.32)",
